header,data
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,511724617533798
5,476470251657561
1,194995827386728
7,441425684887895
7,441355873519974
5,441460615133529
7,54362525952358
1,230249541859671
4,546978480974183
4,265503823788375
4,124696524228966
4,160020534827355
0,511828804290920
7,19213219739991
1,124592421276010
1,371056940095831
4,195100013570406
4,300758022977883
3,406171500652902
4,547013730376025
5,300583638772071
2,547013730621785
0,195100014430566
1,124801266047321
3,230284386642278
3,194960379197787
2,476609736059239
2,89581964081495
5,265329926080874
3,124836162369883
6,476679093111146
0,546908889880919
4,89477406484839
1,335732764326233
7,54466628823402
6,265573650438491
2,89477406525799
7,441425684109655
4,370952383236455
6,335872568908119
5,89616338282856
6,54362628479319
5,300653130328422
4,124836162902363
3,54431966767464
3,124836162083163
2,159880896194918
0,89442158721369
6,124696524638566
0,54467418929499
2,476436142983530
6,230389278431579
2,547047837903210
7,89442158844249
2,230353827539304
0,195204906752347
4,159811455175016
4,546908890822999
3,159950387423591
1,124836161919323
0,89581643123047
0,159810903349593
2,230145537460586
4,89581963999575
7,159776793815402
5,441355774515543
5,265503519934823
5,89547000199511
3,195100013734246
2,511794428655959
6,159985082419560
0,124766335228247
2,19108678592871
2,265468860930391
3,124627099535720
2,54257787246937
6,124696524065126
6,546838996080985
4,195100030142822
1,89616894204249
6,89651000011114
3,511759465019735
0,89442710792552
3,230284488923479
6,159950387259751
3,406101507316057
6,19247594842472
2,511724517996887
3,370883026430314
1,265398950148439
3,406206246226278
2,476610056935767
6,300514282580330
0,370917135268185
0,124800710699368
0,54467418560859
2,54466628659562
7,194960378747227
1,511724617206118
1,195030205028695
7,335768011393383
3,511794429229399
3,159915641563494
1,19073415117145
6,159846166825319
7,265538753952089
1,89581643819367
2,89581963098455
5,124766015662439
1,19283045857627
0,476644447832424
7,159950708382039
3,230214911043943
5,335802658085207
3,476574990526822
4,335697866692955
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
